Group,Vehicle No,Status,DEVICE ID,DEVICE TYPE,Installation Type,Immobilize Type,Transmission,OEM,Model,Variant,Chassis No,Last comm time,GPS time,CAN Time,Odometer Calculated From,Odometer CAN,Odometer GPS,Fuel Level / SOC(%),Mobility,Ignition,Vehicle Battery,Device Battery,CAN Battery Voltage,Fixquality,Device State,OnRoad,LatLng,Battery Temperature,SOH,Charge Cycle,KWH,Current,controller Temperature,Last Location
"Dominos_demo","MCPM61500CLH10003","stopped","97B4671D9A3BDA35","laf","OBD","ignition","AT","Ampere","Magnus","MT 80","","03-03-2025 09:33:19 AM","03-03-2025 09:33:18 AM","03-03-2025 09:33:10 AM","can_odometer","2009","1833","34","Active","Off","12.6","4.12","52.28","1","2","true","28.468254,77.034069","66","34","","","0","N/A","Lotus Hospital, Gurgaon,Sector 12A,Gurgaon,Gurugram",
"MT80_JFL","MCPM61500CLH10004","stopped","F83EF608E73DFE6A","laf","OBD","ignition","AT","Ampere","Magnus","MT 80","","03-03-2025 08:53:11 AM","03-03-2025 08:52:51 AM","03-03-2025 08:53:11 AM","can_odometer","3464","3149","29","Active","Off","12.46","4.11","52.05","1","2","true","13.002057,77.579724","69","29","","","0","N/A","4th Cross Road,Vyali Kaval Post Office,Lower Palace Orchard,Guttahalli,Rajamahal Guttahalli,West Zone,Bengaluru,Bangalore Urban,Karnataka",
"Dominos_demo","MCPM61500CLH10008","stopped","6113F22CF2F555DA","laf","OBD","ignition","AT","Ampere","Magnus","MT 80","","03-03-2025 09:10:28 AM","03-03-2025 09:10:21 AM","03-03-2025 09:10:25 AM","can_odometer","2142","1900","97","Active","Off","12.39","4.12","53.43","1","2","true","28.468161,77.034063","58","97","","","0","N/A","Old Delhi Gurgaon Road,Lotus Hospital, Gurgaon,Sector 12A,Gurgaon,Gurugram",
"MT80_JFL","MCPM61500CLH10007","devicepullout","0FB713D736396A4A","laf","OBD","ignition","AT","Ampere","Magnus","MT 80","","20-02-2025 05:58:02 PM","20-02-2025 05:57:28 PM","20-02-2025 05:58:02 PM","can_odometer","890","832","98","Active","Off","4.55","3.43","53.21","0","2","true","12.892399,77.564353","65","98","","","0","N/A","Kanakapura Road,RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"MT80_JFL/Magnus_R_Demo","MCPN71500CLH10006","stopped","0176FA70B62F818E","laf","OBD","ignition","AT","Ampere","Magnus","MT 80","","03-03-2025 09:41:01 AM","03-03-2025 09:40:53 AM","03-03-2025 09:41:01 AM","can_odometer","932","1907","21","Active","Off","11.83","4.11","51.45","0","2","true","28.44469,77.023283","64","21","","","0","N/A","AFCCTS,Rajiv Chowk Mosque,Hans Enclave,Sector 33,Gurgaon,Gurugram",
"MagnusBS","MCPM71500CMH10010","running","A9E6DF5C41D9E37B","laf","OBD","ignition","AT","Ampere","Magnus","MT80-BS","","03-03-2025 09:41:27 AM","03-03-2025 09:40:23 AM","03-03-2025 09:41:27 AM","can_odometer","3208","4912","82","Active","On","13.23","4.11","55.72","1","1","true","28.634735,77.091587","","","","","0","82","Shivaji Marg,Café Coffee Day,Janakpuri",
"Testing_Validation_Nexus","MCPN44000CMH10005","devicepullout","476BF2DC9FECCD23","laf","OBD","ignition","AT","Ampere","Nexus","NXG","","20-02-2025 07:14:06 AM","20-02-2025 07:13:59 AM","20-02-2025 07:14:00 AM","can_odometer","170","1","17","Active","Off","4.53","3.24","52.58","0","1","true","12.765167,77.640014","","100","1","480","-0.03","23","Nosenuru road,Madapatna,Devasandra,Anekal,Bangalore Urban,Karnataka",
"Testing_Validation_Nexus","MCPN44000CMH10004","devicepullout","066B6F5F8BDC194C","laf","OBD","ignition","AT","Ampere","Nexus","NXG","","18-02-2025 03:47:46 PM","18-02-2025 03:47:44 PM","18-02-2025 03:47:45 PM","can_odometer","233","0","19","Active","Off","4.22","3.87","52.53","1","1","true","12.765347,77.640314","","100","20","528","0.01","30","Nosenuru road,Madapatna,Devasandra,Anekal,Bangalore Urban,Karnataka",
"Magnus_Grand_Nepal","MCPN63000CMH10004","devicepullout","CB1105C498537C17","laf","OBD","ignition","AT","Ampere","Magnus","Grand","","18-02-2025 05:27:42 PM","18-02-2025 05:27:40 PM","18-02-2025 05:24:17 PM","can_odometer","0","2","41","Active","Off","4.46","3.83","52.51","1","2","true","12.765106,77.640276","","99","17","949","0.01","N/A","Nosenuru road,Madapatna,Devasandra,Anekal,Bangalore Urban,Karnataka",
"Magnus_Grand_Nepal","MCPN63000CMH10005","devicepullout","2F291CA98230B297","laf","OBD","ignition","AT","Ampere","Magnus","Grand","","17-02-2025 08:23:39 AM","17-02-2025 08:23:37 AM","17-02-2025 08:20:03 AM","can_odometer","1","0","34","Active","Off","4.41","3.86","52.44","0","2","true","12.892267,77.565418","","99","15","795","0","N/A","Kanakapura Road,RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Magnus_Neo_DVP","TEST00001MGN10001","stopped","69A46F3C83C0E4B9","laf","OBD","ignition","AT","Ampere","Magnus","Neo ","","02-03-2025 09:56:06 PM","02-03-2025 09:56:03 PM","02-03-2025 09:56:06 PM","can_odometer","1513","319","51","Active","Off","13.18","4.11","52.71","1","1","true","11.086373,77.361198","75","51","","","-0.88","N/A","Tiruppur - Dharapuram Road,Tiruppur, Government Hospital,Tiruppur South,Tiruppur District,Tamil Nadu",
"Magnus_Neo_DVP","TEST00001MGN10002","stopped","01FE32E03D49010D","laf","OBD","ignition","AT","Ampere","Magnus","Neo ","","03-03-2025 09:14:33 AM","03-03-2025 09:14:23 AM","03-03-2025 09:14:33 AM","can_odometer","2244","596","77","Active","Off","13.45","4.12","52.71","1","1","true","12.327838,78.437938","67","77","","","-0.54","N/A","Uthangarai,Government Hospital, Kodamandapatti,Pochampalli,Krishnagiri District,Tamil Nadu",
